Segment,Year,Country,Market,Region,Category,Sub-Category,Profit
Consumer,2011.0,Afghanistan,APAC,Central Asia,Furniture,Furnishings,59.34
Consumer,2011.0,Algeria,Africa,Africa,Furniture,Bookcases,178.38
Consumer,2011.0,Algeria,Africa,Africa,Furniture,Chairs,81.6
Consumer,2011.0,Algeria,Africa,Africa,Furniture,Furnishings,29.43
Consumer,2011.0,Algeria,Africa,Africa,Office Supplies,Appliances,55.56
Consumer,2011.0,Algeria,Africa,Africa,Office Supplies,Art,6.84
Consumer,2011.0,Algeria,Africa,Africa,Office Supplies,Binders,20.52
Consumer,2011.0,Algeria,Africa,Africa,Office Supplies,Fasteners,41.879999999999995
Consumer,2011.0,Algeria,Africa,Africa,Office Supplies,Labels,0.57
Consumer,2011.0,Algeria,Africa,Africa,Office Supplies,Paper,48.06
Consumer,2011.0,Algeria,Africa,Africa,Office Supplies,Storage,349.79999999999995
Consumer,2011.0,Algeria,Africa,Africa,Technology,Copiers,31.23
Consumer,2011.0,Algeria,Africa,Africa,Technology,Machines,202.32
Consumer,2011.0,Algeria,Africa,Africa,Technology,Phones,11.04
Consumer,2011.0,Angola,Africa,Africa,Furniture,Bookcases,49.5
Consumer,2011.0,Angola,Africa,Africa,Furniture,Chairs,5.67
Consumer,2011.0,Angola,Africa,Africa,Furniture,Furnishings,8.04
Consumer,2011.0,Angola,Africa,Africa,Office Supplies,Appliances,24.72
Consumer,2011.0,Angola,Africa,Africa,Office Supplies,Art,96.12
Consumer,2011.0,Angola,Africa,Africa,Office Supplies,Binders,4.5
Consumer,2011.0,Angola,Africa,Africa,Office Supplies,Envelopes,9.03
Consumer,2011.0,Angola,Africa,Africa,Office Supplies,Fasteners,6.48
Consumer,2011.0,Angola,Africa,Africa,Office Supplies,Labels,35.28
Consumer,2011.0,Angola,Africa,Africa,Office Supplies,Storage,3.7199999999999998
Consumer,2011.0,Angola,Africa,Africa,Technology,Machines,70.92
Consumer,2011.0,Angola,Africa,Africa,Technology,Phones,57.24
Consumer,2011.0,Argentina,LATAM,South,Furniture,Bookcases,-628.216
Consumer,2011.0,Argentina,LATAM,South,Furniture,Chairs,-126.096
Consumer,2011.0,Argentina,LATAM,South,Furniture,Furnishings,-71.13600000000001
Consumer,2011.0,Argentina,LATAM,South,Office Supplies,Art,-41.468
Consumer,2011.0,Argentina,LATAM,South,Office Supplies,Envelopes,-75.74000000000001
Consumer,2011.0,Argentina,LATAM,South,Office Supplies,Fasteners,-13.340000000000002
Consumer,2011.0,Argentina,LATAM,South,Office Supplies,Labels,-5.792
Consumer,2011.0,Argentina,LATAM,South,Office Supplies,Storage,-35.904
Consumer,2011.0,Argentina,LATAM,South,Technology,Accessories,-8.223999999999998
Consumer,2011.0,Argentina,LATAM,South,Technology,Copiers,-123.94488
Consumer,2011.0,Argentina,LATAM,South,Technology,Phones,-9.780000000000015
Consumer,2011.0,Armenia,EMEA,EMEA,Furniture,Chairs,45.21
Consumer,2011.0,Armenia,EMEA,EMEA,Furniture,Furnishings,21.03
Consumer,2011.0,Australia,APAC,Oceania,Furniture,Bookcases,-465.21
Consumer,2011.0,Australia,APAC,Oceania,Furniture,Chairs,-5.415000000000081
Consumer,2011.0,Australia,APAC,Oceania,Furniture,Furnishings,273.336
Consumer,2011.0,Australia,APAC,Oceania,Furniture,Tables,-58.57199999999999
Consumer,2011.0,Australia,APAC,Oceania,Office Supplies,Appliances,1139.433
Consumer,2011.0,Australia,APAC,Oceania,Office Supplies,Art,-11.702999999999996
Consumer,2011.0,Australia,APAC,Oceania,Office Supplies,Binders,61.85399999999999
Consumer,2011.0,Australia,APAC,Oceania,Office Supplies,Envelopes,77.77799999999999
Consumer,2011.0,Australia,APAC,Oceania,Office Supplies,Fasteners,88.203
Consumer,2011.0,Australia,APAC,Oceania,Office Supplies,Labels,99.624
Consumer,2011.0,Australia,APAC,Oceania,Office Supplies,Paper,269.928
Consumer,2011.0,Australia,APAC,Oceania,Office Supplies,Storage,199.08
Consumer,2011.0,Australia,APAC,Oceania,Office Supplies,Supplies,315.606
Consumer,2011.0,Australia,APAC,Oceania,Technology,Accessories,139.899
Consumer,2011.0,Australia,APAC,Oceania,Technology,Copiers,2203.9080000000004
Consumer,2011.0,Australia,APAC,Oceania,Technology,Machines,822.81
Consumer,2011.0,Australia,APAC,Oceania,Technology,Phones,1342.551
Consumer,2011.0,Austria,EU,Central,Furniture,Bookcases,529.32
Consumer,2011.0,Austria,EMEA,EMEA,Furniture,Chairs,160.83
Consumer,2011.0,Austria,EU,Central,Furniture,Furnishings,56.82
Consumer,2011.0,Austria,EMEA,EMEA,Furniture,Tables,341.49
Consumer,2011.0,Austria,EU,Central,Office Supplies,Appliances,414.12
Consumer,2011.0,Austria,EMEA,EMEA,Office Supplies,Art,47.76
Consumer,2011.0,Austria,EU,Central,Office Supplies,Binders,34.32
Consumer,2011.0,Austria,EU,Central,Office Supplies,Paper,7.05
Consumer,2011.0,Austria,EMEA,EMEA,Office Supplies,Storage,387.24
Consumer,2011.0,Austria,EU,Central,Office Supplies,Supplies,20.7
Consumer,2011.0,Austria,EU,Central,Technology,Copiers,236.52
Consumer,2011.0,Austria,EMEA,EMEA,Technology,Machines,99.89999999999999
Consumer,2011.0,Azerbaijan,EMEA,EMEA,Office Supplies,Binders,5.4
Consumer,2011.0,Azerbaijan,EMEA,EMEA,Office Supplies,Storage,0.0
Consumer,2011.0,Bangladesh,APAC,Central Asia,Furniture,Bookcases,116.37
