ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,december_promotion,december_promotion_lower,december_promotion_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2011-01-01,3203.149502727534,-4891.701202085237,9801.90300945043,3203.149502727534,3203.149502727534,-0.26124084296085004,-0.26124084296085004,-0.26124084296085004,0.0,0.0,0.0,0.0,0.0,0.0,-0.42838453896672946,-0.42838453896672946,-0.42838453896672946,-0.2565635665992155,-0.2565635665992155,-0.2565635665992155,0.08941987059333603,0.08941987059333603,0.08941987059333603,0.0,0.0,0.0,1830.9697797600907
2011-01-02,3208.181056156163,-7373.364984996638,7164.566232026991,3208.181056156163,3208.181056156163,-0.26124084296085004,-0.26124084296085004,-0.26124084296085004,0.0,0.0,0.0,0.0,0.0,0.0,-0.8555739730362494,-0.8555739730362494,-0.8555739730362494,-0.6505487781259135,-0.6505487781259135,-0.6505487781259135,0.056215648050513996,0.056215648050513996,0.056215648050513996,0.0,0.0,0.0,463.34484372100394
2011-01-03,3213.2126095847916,-5475.928900628483,10742.115065638149,3213.2126095847916,3213.2126095847916,-0.26124084296085004,-0.26124084296085004,-0.26124084296085004,0.0,0.0,0.0,0.0,0.0,0.0,-0.08572876267931129,-0.08572876267931129,-0.08572876267931129,0.15269582934842604,0.15269582934842604,0.15269582934842604,0.022816250933112677,0.022816250933112677,0.022816250933112677,0.0,0.0,0.0,2937.7478683395266
2011-01-04,3218.2441630134203,-4770.101642840213,9853.832500344612,3218.2441630134203,3218.2441630134203,-0.26124084296085004,-0.26124084296085004,-0.26124084296085004,0.0,0.0,0.0,0.0,0.0,0.0,-0.06968708240911889,-0.06968708240911889,-0.06968708240911889,0.2018597069608646,0.2018597069608646,0.2018597069608646,-0.010305946409133472,-0.010305946409133472,-0.010305946409133472,0.0,0.0,0.0,2993.974116812838
2011-01-05,3223.2757164420495,-4153.230487265215,10087.612981727041,3223.2757164420495,3223.2757164420495,-0.26124084296085004,-0.26124084296085004,-0.26124084296085004,0.0,0.0,0.0,0.0,0.0,0.0,-0.14303890312613793,-0.14303890312613793,-0.14303890312613793,0.16088734011275252,0.16088734011275252,0.16088734011275252,-0.04268540027804041,-0.04268540027804041,-0.04268540027804041,0.0,0.0,0.0,2762.2218934890625
2011-01-06,3228.3072698706783,-4684.526700696056,10926.490476341189,3228.3072698706783,3228.3072698706783,-0.26124084296085004,-0.26124084296085004,-0.26124084296085004,0.0,0.0,0.0,0.0,0.0,0.0,-0.16633876243706408,-0.16633876243706408,-0.16633876243706408,0.16877642020553055,0.16877642020553055,0.16877642020553055,-0.07387433968174459,-0.07387433968174459,-0.07387433968174459,0.0,0.0,0.0,2691.314633833813
2011-01-07,3233.338823299307,-4564.456341936035,9825.64040636304,3233.338823299307,3233.338823299307,-0.26124084296085004,-0.26124084296085004,-0.26124084296085004,0.0,0.0,0.0,0.0,0.0,0.0,-0.1418010574959922,-0.1418010574959922,-0.1418010574959922,0.222893048099183,0.222893048099183,0.222893048099183,-0.10345326263432521,-0.10345326263432521,-0.10345326263432521,0.0,0.0,0.0,2774.847958912618
2011-01-08,3238.3703767279353,-6189.818333167841,8278.506751400218,3238.3703767279353,3238.3703767279353,-0.26124084296085004,-0.26124084296085004,-0.26124084296085004,0.0,0.0,0.0,0.0,0.0,0.0,-0.648845126672895,-0.648845126672895,-0.648845126672895,-0.25656356659893403,-0.25656356659893403,-0.25656356659893403,-0.13104071711311088,-0.13104071711311088,-0.13104071711311088,0.0,0.0,0.0,1137.1695394261476
2011-01-09,3243.401930156564,-7182.318740716316,7368.463862396579,3243.401930156564,3243.401930156564,-0.26124084296085004,-0.26124084296085004,-0.26124084296085004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0680917369383434,-1.0680917369383434,-1.0680917369383434,-0.6505487781259864,-0.6505487781259864,-0.6505487781259864,-0.15630211585150688,-0.15630211585150688,-0.15630211585150688,0.0,0.0,0.0,-220.84887101353587
2011-01-10,3248.433483585193,-5230.287858827322,9769.156666713456,3248.433483585193,3248.433483585193,-0.26124084296085004,-0.26124084296085004,-0.26124084296085004,0.0,0.0,0.0,0.0,0.0,0.0,-0.28750237319947813,-0.28750237319947813,-0.28750237319947813,0.15269582934888992,0.15269582934888992,0.15269582934888992,-0.17895735958751802,-0.17895735958751802,-0.17895735958751802,0.0,0.0,0.0,2314.501147873802
