Segment,Year,Country,Market,Region,Category,Sub-Category,Profit
Consumer,2013.0,Afghanistan,APAC,Central Asia,Furniture,Chairs,45.9
Consumer,2013.0,Albania,EMEA,EMEA,Technology,Phones,40.05
Consumer,2013.0,Algeria,Africa,Africa,Furniture,Bookcases,221.28
Consumer,2013.0,Algeria,Africa,Africa,Office Supplies,Art,13.559999999999999
Consumer,2013.0,Algeria,Africa,Africa,Office Supplies,Binders,9.450000000000001
Consumer,2013.0,Algeria,Africa,Africa,Office Supplies,Envelopes,27.12
Consumer,2013.0,Algeria,Africa,Africa,Office Supplies,Labels,9.0
Consumer,2013.0,Algeria,Africa,Africa,Office Supplies,Storage,299.46000000000004
Consumer,2013.0,Algeria,Africa,Africa,Office Supplies,Supplies,16.86
Consumer,2013.0,Algeria,Africa,Africa,Technology,Accessories,93.54
Consumer,2013.0,Angola,Africa,Africa,Furniture,Chairs,223.41
Consumer,2013.0,Angola,Africa,Africa,Office Supplies,Art,12.03
Consumer,2013.0,Angola,Africa,Africa,Office Supplies,Binders,15.21
Consumer,2013.0,Angola,Africa,Africa,Office Supplies,Envelopes,49.080000000000005
Consumer,2013.0,Angola,Africa,Africa,Office Supplies,Fasteners,43.410000000000004
Consumer,2013.0,Angola,Africa,Africa,Office Supplies,Labels,14.819999999999999
Consumer,2013.0,Angola,Africa,Africa,Office Supplies,Paper,11.82
Consumer,2013.0,Angola,Africa,Africa,Office Supplies,Storage,369.92999999999995
Consumer,2013.0,Angola,Africa,Africa,Office Supplies,Supplies,13.38
Consumer,2013.0,Angola,Africa,Africa,Technology,Phones,1082.28
Consumer,2013.0,Argentina,LATAM,South,Furniture,Bookcases,-245.07599999999996
Consumer,2013.0,Argentina,LATAM,South,Furniture,Chairs,-845.396
Consumer,2013.0,Argentina,LATAM,South,Furniture,Tables,-2230.87
Consumer,2013.0,Argentina,LATAM,South,Office Supplies,Appliances,-18.04
Consumer,2013.0,Argentina,LATAM,South,Office Supplies,Art,7.084
Consumer,2013.0,Argentina,LATAM,South,Office Supplies,Binders,-79.95
Consumer,2013.0,Argentina,LATAM,South,Office Supplies,Envelopes,-91.988
Consumer,2013.0,Argentina,LATAM,South,Office Supplies,Fasteners,2.8200000000000003
Consumer,2013.0,Argentina,LATAM,South,Office Supplies,Labels,-0.8319999999999999
Consumer,2013.0,Argentina,LATAM,South,Office Supplies,Paper,-84.4
Consumer,2013.0,Argentina,LATAM,South,Office Supplies,Storage,53.616
Consumer,2013.0,Argentina,LATAM,South,Office Supplies,Supplies,-24.003999999999998
Consumer,2013.0,Argentina,LATAM,South,Technology,Accessories,-141.30399999999997
Consumer,2013.0,Argentina,LATAM,South,Technology,Copiers,-498.9904
Consumer,2013.0,Armenia,EMEA,EMEA,Office Supplies,Paper,2.85
Consumer,2013.0,Australia,APAC,Oceania,Furniture,Bookcases,2840.6670000000004
Consumer,2013.0,Australia,APAC,Oceania,Furniture,Chairs,2050.473
Consumer,2013.0,Australia,APAC,Oceania,Furniture,Furnishings,640.0020000000001
Consumer,2013.0,Australia,APAC,Oceania,Furniture,Tables,111.906
Consumer,2013.0,Australia,APAC,Oceania,Office Supplies,Appliances,1983.774
Consumer,2013.0,Australia,APAC,Oceania,Office Supplies,Art,425.886
Consumer,2013.0,Australia,APAC,Oceania,Office Supplies,Binders,480.06000000000006
Consumer,2013.0,Australia,APAC,Oceania,Office Supplies,Envelopes,105.126
Consumer,2013.0,Australia,APAC,Oceania,Office Supplies,Fasteners,102.22800000000001
Consumer,2013.0,Australia,APAC,Oceania,Office Supplies,Labels,143.946
Consumer,2013.0,Australia,APAC,Oceania,Office Supplies,Paper,541.536
Consumer,2013.0,Australia,APAC,Oceania,Office Supplies,Storage,1829.0819999999997
Consumer,2013.0,Australia,APAC,Oceania,Office Supplies,Supplies,308.301
Consumer,2013.0,Australia,APAC,Oceania,Technology,Accessories,2018.6669999999997
Consumer,2013.0,Australia,APAC,Oceania,Technology,Copiers,2430.2970000000005
Consumer,2013.0,Australia,APAC,Oceania,Technology,Machines,-218.30700000000002
Consumer,2013.0,Australia,APAC,Oceania,Technology,Phones,2755.2899999999995
Consumer,2013.0,Austria,EU,Central,Furniture,Bookcases,927.78
Consumer,2013.0,Austria,EU,Central,Furniture,Chairs,11.4
Consumer,2013.0,Austria,EU,Central,Furniture,Furnishings,196.08
Consumer,2013.0,Austria,EU,Central,Office Supplies,Appliances,147.36
Consumer,2013.0,Austria,EU,Central,Office Supplies,Art,322.56000000000006
Consumer,2013.0,Austria,EU,Central,Office Supplies,Binders,299.52
Consumer,2013.0,Austria,EMEA,EMEA,Office Supplies,Envelopes,9.9
Consumer,2013.0,Austria,EU,Central,Office Supplies,Fasteners,20.34
Consumer,2013.0,Austria,EU,Central,Office Supplies,Paper,20.16
Consumer,2013.0,Austria,EMEA,EMEA,Office Supplies,Storage,617.76
Consumer,2013.0,Austria,EU,Central,Office Supplies,Supplies,56.160000000000004
Consumer,2013.0,Austria,EU,Central,Technology,Accessories,7.92
Consumer,2013.0,Austria,EU,Central,Technology,Copiers,240.42000000000002
Consumer,2013.0,Austria,EU,Central,Technology,Machines,23.76
Consumer,2013.0,Austria,EU,Central,Technology,Phones,71.61
Consumer,2013.0,Azerbaijan,EMEA,EMEA,Furniture,Tables,946.68
Consumer,2013.0,Azerbaijan,EMEA,EMEA,Office Supplies,Binders,46.620000000000005
Consumer,2013.0,Azerbaijan,EMEA,EMEA,Office Supplies,Paper,6.54
Consumer,2013.0,Azerbaijan,EMEA,EMEA,Technology,Machines,24.24
Consumer,2013.0,Bangladesh,APAC,Central Asia,Furniture,Bookcases,1423.1399999999999
Consumer,2013.0,Bangladesh,APAC,Central Asia,Furniture,Furnishings,73.8
Consumer,2013.0,Bangladesh,APAC,Central Asia,Office Supplies,Binders,8.7
Consumer,2013.0,Bangladesh,APAC,Central Asia,Office Supplies,Storage,17.07
Consumer,2013.0,Bangladesh,APAC,Central Asia,Office Supplies,Supplies,46.77
Consumer,2013.0,Bangladesh,APAC,Central Asia,Technology,Accessories,5.88
Consumer,2013.0,Bangladesh,APAC,Central Asia,Technology,Copiers,71.61
Consumer,2013.0,Bangladesh,APAC,Central Asia,Technology,Machines,382.14
Consumer,2013.0,Bangladesh,APAC,Central Asia,Technology,Phones,631.0500000000001
Consumer,2013.0,Belarus,EMEA,EMEA,Office Supplies,Appliances,20.4
Consumer,2013.0,Belarus,EMEA,EMEA,Office Supplies,Binders,59.22
Consumer,2013.0,Belarus,EMEA,EMEA,Office Supplies,Paper,35.76
Consumer,2013.0,Belarus,EMEA,EMEA,Office Supplies,Supplies,20.1
Consumer,2013.0,Belgium,EU,Central,Furniture,Bookcases,153.6
Consumer,2013.0,Belgium,EU,Central,Furniture,Furnishings,10.44
Consumer,2013.0,Belgium,EU,Central,Furniture,Tables,48.6
Consumer,2013.0,Belgium,EU,Central,Office Supplies,Appliances,50.82
Consumer,2013.0,Belgium,EU,Central,Office Supplies,Art,94.53
Consumer,2013.0,Belgium,EU,Central,Office Supplies,Binders,23.28
Consumer,2013.0,Belgium,EU,Central,Office Supplies,Paper,55.8
Consumer,2013.0,Belgium,EU,Central,Office Supplies,Storage,258.65999999999997
Consumer,2013.0,Belgium,EU,Central,Technology,Copiers,91.68
Consumer,2013.0,Benin,Africa,Africa,Office Supplies,Art,0.0
Consumer,2013.0,Benin,Africa,Africa,Office Supplies,Binders,2.73
Consumer,2013.0,Bolivia,LATAM,South,Furniture,Bookcases,97.56
Consumer,2013.0,Bolivia,LATAM,South,Furniture,Chairs,12.18
Consumer,2013.0,Bolivia,LATAM,South,Furniture,Furnishings,105.84
Consumer,2013.0,Bolivia,LATAM,South,Office Supplies,Binders,96.12
Consumer,2013.0,Bolivia,LATAM,South,Office Supplies,Envelopes,12.24
Consumer,2013.0,Bolivia,LATAM,South,Office Supplies,Paper,55.64
Consumer,2013.0,Bolivia,LATAM,South,Office Supplies,Storage,15.78
Consumer,2013.0,Bolivia,LATAM,South,Technology,Accessories,169.2
Consumer,2013.0,Bolivia,LATAM,South,Technology,Machines,458.5
Consumer,2013.0,Bosnia and Herzegovina,EMEA,EMEA,Office Supplies,Envelopes,1.44
Consumer,2013.0,Bosnia and Herzegovina,EMEA,EMEA,Technology,Phones,70.74
Consumer,2013.0,Brazil,LATAM,South,Furniture,Bookcases,-2899.232
Consumer,2013.0,Brazil,LATAM,South,Furniture,Chairs,1355.3279999999997
Consumer,2013.0,Brazil,LATAM,South,Furniture,Furnishings,505.5439999999999
Consumer,2013.0,Brazil,LATAM,South,Furniture,Tables,-1662.532
Consumer,2013.0,Brazil,LATAM,South,Office Supplies,Appliances,82.59600000000013
Consumer,2013.0,Brazil,LATAM,South,Office Supplies,Art,0.5839999999999981
Consumer,2013.0,Brazil,LATAM,South,Office Supplies,Binders,180.09599999999998
Consumer,2013.0,Brazil,LATAM,South,Office Supplies,Envelopes,49.12400000000002
Consumer,2013.0,Brazil,LATAM,South,Office Supplies,Fasteners,-1.9800000000000009
Consumer,2013.0,Brazil,LATAM,South,Office Supplies,Labels,52.748000000000005
Consumer,2013.0,Brazil,LATAM,South,Office Supplies,Paper,-8.85600000000002
Consumer,2013.0,Brazil,LATAM,South,Office Supplies,Storage,104.25999999999998
Consumer,2013.0,Brazil,LATAM,South,Office Supplies,Supplies,43.02399999999999
Consumer,2013.0,Brazil,LATAM,South,Technology,Accessories,28.15999999999997
Consumer,2013.0,Brazil,LATAM,South,Technology,Copiers,822.4812000000001
Consumer,2013.0,Brazil,LATAM,South,Technology,Machines,523.208
Consumer,2013.0,Brazil,LATAM,South,Technology,Phones,-377.528
Consumer,2013.0,Bulgaria,EMEA,EMEA,Furniture,Bookcases,30.48
Consumer,2013.0,Bulgaria,EMEA,EMEA,Furniture,Furnishings,25.08
Consumer,2013.0,Bulgaria,EMEA,EMEA,Office Supplies,Art,10.8
