Segment,Year,Country,Market,Region,Category,Sub-Category,Profit
Consumer,2014.0,Afghanistan,APAC,Central Asia,Furniture,Furnishings,39.84
Consumer,2014.0,Afghanistan,APAC,Central Asia,Office Supplies,Appliances,280.8
Consumer,2014.0,Afghanistan,APAC,Central Asia,Office Supplies,Art,35.1
Consumer,2014.0,Afghanistan,APAC,Central Asia,Office Supplies,Paper,4.68
Consumer,2014.0,Afghanistan,APAC,Central Asia,Office Supplies,Storage,91.8
Consumer,2014.0,Afghanistan,APAC,Central Asia,Technology,Accessories,39.6
Consumer,2014.0,Albania,EMEA,EMEA,Office Supplies,Art,24.3
Consumer,2014.0,Albania,EMEA,EMEA,Office Supplies,Storage,63.21
Consumer,2014.0,Algeria,Africa,Africa,Furniture,Bookcases,148.68
Consumer,2014.0,Algeria,Africa,Africa,Furniture,Chairs,91.68
Consumer,2014.0,Algeria,Africa,Africa,Furniture,Furnishings,40.8
Consumer,2014.0,Algeria,Africa,Africa,Office Supplies,Appliances,526.08
Consumer,2014.0,Algeria,Africa,Africa,Office Supplies,Art,98.31
Consumer,2014.0,Algeria,Africa,Africa,Office Supplies,Binders,72.96000000000001
Consumer,2014.0,Algeria,Africa,Africa,Office Supplies,Envelopes,11.52
Consumer,2014.0,Algeria,Africa,Africa,Office Supplies,Fasteners,51.84
Consumer,2014.0,Algeria,Africa,Africa,Office Supplies,Labels,6.36
Consumer,2014.0,Algeria,Africa,Africa,Office Supplies,Storage,34.260000000000005
Consumer,2014.0,Algeria,Africa,Africa,Office Supplies,Supplies,33.6
Consumer,2014.0,Algeria,Africa,Africa,Technology,Copiers,61.68
Consumer,2014.0,Algeria,Africa,Africa,Technology,Machines,62.82
Consumer,2014.0,Algeria,Africa,Africa,Technology,Phones,433.44
Consumer,2014.0,Angola,Africa,Africa,Furniture,Bookcases,405.72
Consumer,2014.0,Angola,Africa,Africa,Furniture,Furnishings,28.259999999999998
Consumer,2014.0,Angola,Africa,Africa,Furniture,Tables,678.27
Consumer,2014.0,Angola,Africa,Africa,Office Supplies,Art,11.010000000000002
Consumer,2014.0,Angola,Africa,Africa,Office Supplies,Binders,16.59
Consumer,2014.0,Angola,Africa,Africa,Office Supplies,Envelopes,23.94
Consumer,2014.0,Angola,Africa,Africa,Office Supplies,Fasteners,8.94
Consumer,2014.0,Angola,Africa,Africa,Office Supplies,Paper,59.760000000000005
Consumer,2014.0,Angola,Africa,Africa,Office Supplies,Storage,558.48
Consumer,2014.0,Angola,Africa,Africa,Office Supplies,Supplies,13.62
Consumer,2014.0,Angola,Africa,Africa,Technology,Machines,14.49
Consumer,2014.0,Argentina,LATAM,South,Furniture,Bookcases,-170.992
Consumer,2014.0,Argentina,LATAM,South,Furniture,Chairs,-885.064
Consumer,2014.0,Argentina,LATAM,South,Furniture,Furnishings,-228.716
Consumer,2014.0,Argentina,LATAM,South,Furniture,Tables,-269.6
Consumer,2014.0,Argentina,LATAM,South,Office Supplies,Appliances,-195.096
Consumer,2014.0,Argentina,LATAM,South,Office Supplies,Art,-53.995999999999995
Consumer,2014.0,Argentina,LATAM,South,Office Supplies,Binders,-220.322
Consumer,2014.0,Argentina,LATAM,South,Office Supplies,Envelopes,-73.1
Consumer,2014.0,Argentina,LATAM,South,Office Supplies,Fasteners,-35.727999999999994
Consumer,2014.0,Argentina,LATAM,South,Office Supplies,Labels,-26.516
Consumer,2014.0,Argentina,LATAM,South,Office Supplies,Paper,-109.24
Consumer,2014.0,Argentina,LATAM,South,Office Supplies,Storage,-80.508
Consumer,2014.0,Argentina,LATAM,South,Office Supplies,Supplies,-22.676000000000002
Consumer,2014.0,Argentina,LATAM,South,Technology,Accessories,-196.304
Consumer,2014.0,Argentina,LATAM,South,Technology,Copiers,-770.58672
Consumer,2014.0,Argentina,LATAM,South,Technology,Machines,-71.84
Consumer,2014.0,Argentina,LATAM,South,Technology,Phones,-81.01599999999999
Consumer,2014.0,Australia,APAC,Oceania,Furniture,Bookcases,3675.048
Consumer,2014.0,Australia,APAC,Oceania,Furniture,Chairs,2303.9759999999997
Consumer,2014.0,Australia,APAC,Oceania,Furniture,Furnishings,1151.6670000000001
Consumer,2014.0,Australia,APAC,Oceania,Furniture,Tables,-598.5660000000001
Consumer,2014.0,Australia,APAC,Oceania,Office Supplies,Appliances,2328.885
Consumer,2014.0,Australia,APAC,Oceania,Office Supplies,Art,428.67300000000006
Consumer,2014.0,Australia,APAC,Oceania,Office Supplies,Binders,567.306
Consumer,2014.0,Australia,APAC,Oceania,Office Supplies,Envelopes,371.751
Consumer,2014.0,Australia,APAC,Oceania,Office Supplies,Fasteners,198.09599999999998
Consumer,2014.0,Australia,APAC,Oceania,Office Supplies,Labels,184.45199999999997
Consumer,2014.0,Australia,APAC,Oceania,Office Supplies,Paper,461.52299999999997
Consumer,2014.0,Australia,APAC,Oceania,Office Supplies,Storage,1316.637
Consumer,2014.0,Australia,APAC,Oceania,Office Supplies,Supplies,121.60799999999999
Consumer,2014.0,Australia,APAC,Oceania,Technology,Accessories,1085.619
Consumer,2014.0,Australia,APAC,Oceania,Technology,Copiers,3883.6650000000004
Consumer,2014.0,Australia,APAC,Oceania,Technology,Machines,423.49799999999993
Consumer,2014.0,Australia,APAC,Oceania,Technology,Phones,1487.166
Consumer,2014.0,Austria,EU,Central,Furniture,Chairs,1532.55
Consumer,2014.0,Austria,EU,Central,Furniture,Furnishings,127.25999999999999
Consumer,2014.0,Austria,EU,Central,Office Supplies,Appliances,17.55
Consumer,2014.0,Austria,EU,Central,Office Supplies,Art,203.01000000000002
Consumer,2014.0,Austria,EMEA,EMEA,Office Supplies,Binders,110.61000000000001
Consumer,2014.0,Austria,EU,Central,Office Supplies,Envelopes,89.88
Consumer,2014.0,Austria,EU,Central,Office Supplies,Fasteners,45.809999999999995
Consumer,2014.0,Austria,EU,Central,Office Supplies,Paper,72.12
Consumer,2014.0,Austria,EU,Central,Office Supplies,Storage,830.22
Consumer,2014.0,Austria,EU,Central,Office Supplies,Supplies,165.6
Consumer,2014.0,Austria,EU,Central,Technology,Accessories,151.35
Consumer,2014.0,Austria,EU,Central,Technology,Copiers,1706.55
Consumer,2014.0,Austria,EU,Central,Technology,Machines,363.24
Consumer,2014.0,Austria,EU,Central,Technology,Phones,375.71999999999997
Consumer,2014.0,Azerbaijan,EMEA,EMEA,Office Supplies,Art,12.39
Consumer,2014.0,Azerbaijan,EMEA,EMEA,Office Supplies,Fasteners,12.66
Consumer,2014.0,Azerbaijan,EMEA,EMEA,Office Supplies,Storage,23.97
Consumer,2014.0,Bangladesh,APAC,Central Asia,Furniture,Bookcases,876.72
Consumer,2014.0,Bangladesh,APAC,Central Asia,Furniture,Chairs,106.92
Consumer,2014.0,Bangladesh,APAC,Central Asia,Furniture,Furnishings,184.07999999999998
Consumer,2014.0,Bangladesh,APAC,Central Asia,Office Supplies,Art,64.53
Consumer,2014.0,Bangladesh,APAC,Central Asia,Office Supplies,Binders,49.41
Consumer,2014.0,Bangladesh,APAC,Central Asia,Office Supplies,Envelopes,111.51
Consumer,2014.0,Bangladesh,APAC,Central Asia,Office Supplies,Fasteners,29.4
Consumer,2014.0,Bangladesh,APAC,Central Asia,Office Supplies,Labels,46.35
Consumer,2014.0,Bangladesh,APAC,Central Asia,Office Supplies,Paper,25.74
Consumer,2014.0,Bangladesh,APAC,Central Asia,Office Supplies,Storage,156.12
Consumer,2014.0,Bangladesh,APAC,Central Asia,Office Supplies,Supplies,62.73
Consumer,2014.0,Bangladesh,APAC,Central Asia,Technology,Accessories,78.12
Consumer,2014.0,Bangladesh,APAC,Central Asia,Technology,Machines,246.36
Consumer,2014.0,Bangladesh,APAC,Central Asia,Technology,Phones,978.84
Consumer,2014.0,Barbados,LATAM,Caribbean,Furniture,Furnishings,0.0
Consumer,2014.0,Barbados,LATAM,Caribbean,Furniture,Tables,738.04
Consumer,2014.0,Barbados,LATAM,Caribbean,Office Supplies,Art,13.14
Consumer,2014.0,Barbados,LATAM,Caribbean,Office Supplies,Paper,4.1
Consumer,2014.0,Barbados,LATAM,Caribbean,Office Supplies,Storage,59.58
Consumer,2014.0,Barbados,LATAM,Caribbean,Technology,Accessories,10.24
Consumer,2014.0,Belarus,EMEA,EMEA,Furniture,Chairs,58.98
Consumer,2014.0,Belarus,EMEA,EMEA,Office Supplies,Appliances,54.24
Consumer,2014.0,Belarus,EMEA,EMEA,Office Supplies,Art,159.35999999999999
Consumer,2014.0,Belarus,EMEA,EMEA,Office Supplies,Binders,45.63
Consumer,2014.0,Belarus,EMEA,EMEA,Office Supplies,Envelopes,17.73
Consumer,2014.0,Belarus,EMEA,EMEA,Office Supplies,Fasteners,31.92
Consumer,2014.0,Belarus,EMEA,EMEA,Office Supplies,Paper,1.8
Consumer,2014.0,Belarus,EMEA,EMEA,Office Supplies,Storage,32.58
Consumer,2014.0,Belarus,EMEA,EMEA,Technology,Copiers,381.24
Consumer,2014.0,Belarus,EMEA,EMEA,Technology,Phones,576.48
Consumer,2014.0,Belgium,EU,Central,Furniture,Chairs,191.88000000000002
Consumer,2014.0,Belgium,EU,Central,Office Supplies,Appliances,90.84
Consumer,2014.0,Belgium,EU,Central,Office Supplies,Art,40.35
Consumer,2014.0,Belgium,EU,Central,Office Supplies,Binders,64.8
Consumer,2014.0,Belgium,EU,Central,Office Supplies,Fasteners,2.52
Consumer,2014.0,Belgium,EU,Central,Office Supplies,Paper,5.76
Consumer,2014.0,Belgium,EU,Central,Office Supplies,Storage,88.02
Consumer,2014.0,Belgium,EU,Central,Technology,Accessories,53.04
Consumer,2014.0,Belgium,EU,Central,Technology,Phones,373.68
Consumer,2014.0,Benin,Africa,Africa,Office Supplies,Art,1.05
Consumer,2014.0,Benin,Africa,Africa,Office Supplies,Labels,5.64
Consumer,2014.0,Benin,Africa,Africa,Office Supplies,Paper,49.8
Consumer,2014.0,Benin,Africa,Africa,Technology,Copiers,246.72
Consumer,2014.0,Bolivia,LATAM,South,Furniture,Chairs,24.42
Consumer,2014.0,Bolivia,LATAM,South,Office Supplies,Art,1.32
Consumer,2014.0,Bolivia,LATAM,South,Office Supplies,Binders,1.54
Consumer,2014.0,Bolivia,LATAM,South,Office Supplies,Envelopes,24.240000000000002
Consumer,2014.0,Bolivia,LATAM,South,Office Supplies,Fasteners,3.84
Consumer,2014.0,Bolivia,LATAM,South,Office Supplies,Storage,2.7
Consumer,2014.0,Bolivia,LATAM,South,Technology,Accessories,169.9
Consumer,2014.0,Bosnia and Herzegovina,EMEA,EMEA,Office Supplies,Paper,7.2
Consumer,2014.0,Bosnia and Herzegovina,EMEA,EMEA,Office Supplies,Storage,13.86
Consumer,2014.0,Bosnia and Herzegovina,EMEA,EMEA,Technology,Copiers,28.83
Consumer,2014.0,Brazil,LATAM,South,Furniture,Bookcases,2499.4800000000005
Consumer,2014.0,Brazil,LATAM,South,Furniture,Chairs,1902.5480000000002
Consumer,2014.0,Brazil,LATAM,South,Furniture,Furnishings,581.356
Consumer,2014.0,Brazil,LATAM,South,Furniture,Tables,-120.92399999999998
Consumer,2014.0,Brazil,LATAM,South,Office Supplies,Appliances,535.9920000000001
Consumer,2014.0,Brazil,LATAM,South,Office Supplies,Art,271.816
Consumer,2014.0,Brazil,LATAM,South,Office Supplies,Binders,16.87599999999999
Consumer,2014.0,Brazil,LATAM,South,Office Supplies,Envelopes,30.068000000000023
Consumer,2014.0,Brazil,LATAM,South,Office Supplies,Fasteners,139.03599999999997
Consumer,2014.0,Brazil,LATAM,South,Office Supplies,Labels,89.792
Consumer,2014.0,Brazil,LATAM,South,Office Supplies,Paper,119.85999999999999
Consumer,2014.0,Brazil,LATAM,South,Office Supplies,Storage,450.85599999999994
Consumer,2014.0,Brazil,LATAM,South,Office Supplies,Supplies,88.28
Consumer,2014.0,Brazil,LATAM,South,Technology,Accessories,172.27599999999998
Consumer,2014.0,Brazil,LATAM,South,Technology,Copiers,2085.4524800000004
Consumer,2014.0,Brazil,LATAM,South,Technology,Machines,111.54
Consumer,2014.0,Brazil,LATAM,South,Technology,Phones,1235.124
Consumer,2014.0,Bulgaria,EMEA,EMEA,Furniture,Chairs,126.06
Consumer,2014.0,Bulgaria,EMEA,EMEA,Furniture,Furnishings,12.72
Consumer,2014.0,Bulgaria,EMEA,EMEA,Office Supplies,Appliances,3.51
Consumer,2014.0,Bulgaria,EMEA,EMEA,Office Supplies,Art,2.94
Consumer,2014.0,Bulgaria,EMEA,EMEA,Office Supplies,Storage,178.56
Consumer,2014.0,Bulgaria,EMEA,EMEA,Office Supplies,Supplies,57.24
Consumer,2014.0,Bulgaria,EMEA,EMEA,Technology,Copiers,44.73
Consumer,2014.0,Bulgaria,EMEA,EMEA,Technology,Machines,85.5
Consumer,2014.0,Bulgaria,EMEA,EMEA,Technology,Phones,158.28
Consumer,2014.0,Cambodia,APAC,Southeast Asia,Furniture,Bookcases,405.36
Consumer,2014.0,Cambodia,APAC,Southeast Asia,Furniture,Chairs,287.7
Consumer,2014.0,Cambodia,APAC,Southeast Asia,Furniture,Furnishings,110.7
Consumer,2014.0,Cambodia,APAC,Southeast Asia,Furniture,Tables,1069.2
Consumer,2014.0,Cambodia,APAC,Southeast Asia,Office Supplies,Appliances,32.49
Consumer,2014.0,Cambodia,APAC,Southeast Asia,Office Supplies,Binders,40.589999999999996
