ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,december_promotion,december_promotion_lower,december_promotion_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2011-01-01,2325.643822577424,-32519.492038494507,38286.411360029,1279.158127340008,3822.5477954077287,0.0,0.0,0.0,0.0,0.0,0.0,-0.12270191591356676,-0.18233687163594803,-0.07621533681122766,-0.02115671446882632,-0.07592511369094283,0.024942637307288303,-0.1015452014447404,-0.19434184269868784,-0.02389160925506492,0.0,0.0,0.0,2040.2828698146232
2011-01-02,2326.0340893005086,-32070.93411716166,37698.02976721969,1280.144428626657,3823.2791949685256,0.0,0.0,0.0,0.0,0.0,0.0,-0.11846353295284563,-0.3188342999159457,-0.018059238029910933,-0.014815937851988209,-0.09748534746520869,0.10582605365169262,-0.1036475951008574,-0.22134895245073696,-0.003344611486218587,0.0,0.0,0.0,2050.4838733132156
2011-01-03,2326.424356023593,-33656.520203870416,36429.87155106938,1281.1307299133055,3824.0105945293235,0.0,0.0,0.0,0.0,0.0,0.0,-0.11941361185789873,-0.22694999885977504,0.011887456562445489,-0.015502435828272348,-0.04663453879923054,0.018408578631038747,-0.10391117602962639,-0.24535857749081375,0.018027133403228087,0.0,0.0,0.0,2048.6176209566297
2011-01-04,2326.8146227466777,-32662.297581415616,36687.32218113863,1282.1170311999545,3824.741994090121,0.0,0.0,0.0,0.0,0.0,0.0,-0.11985651573701417,-0.27758209908317527,0.02802078645501131,-0.017566949521868897,-0.030686450254538308,-0.011728948862693172,-0.10228956621514528,-0.2658531502204821,0.03992783730060823,0.0,0.0,0.0,2047.9307292983258
2011-01-05,2327.2048894697627,-31049.46744534168,33818.04141236544,1283.103332486603,3825.4733936509183,0.0,0.0,0.0,0.0,0.0,0.0,-0.08200449678830239,-0.2826626803106053,0.11559024794708028,0.016779674525197772,-0.028444040284338678,0.05355076197993553,-0.09878417131350015,-0.2823937343486876,0.062039485967144745,0.0,0.0,0.0,2136.363623585518
2011-01-06,2327.5951561928473,-32239.510497767697,35920.61286738454,1284.089633773252,3826.2047932117157,0.0,0.0,0.0,0.0,0.0,0.0,-0.0742305886855399,-0.21616097961394995,0.06679811928767788,0.019214183263844175,-0.017228874604336607,0.07846908779447372,-0.0934447719493841,-0.2946300674084237,0.0840269938920145,0.0,0.0,0.0,2154.816397527041
2011-01-07,2327.985422915932,-32991.41591455201,34968.34712604145,1285.075935059901,3826.936192772514,0.0,0.0,0.0,0.0,0.0,0.0,-0.053320657501487866,-0.3017078051725507,0.2375575363167555,0.03304817988187618,-0.03682776957270312,0.13201359725255812,-0.08636883738336405,-0.3023084099745516,0.1055439390641974,0.0,0.0,0.0,2203.855709512175
2011-01-08,2328.3756896390164,-31732.090591192646,38357.929870890104,1286.0622363465495,3827.6675923333114,0.0,0.0,0.0,0.0,0.0,0.0,-0.09885628694471245,-0.29327205116004695,0.05031365961561153,-0.021156714468838194,-0.0759251136910413,0.024942637307280788,-0.07769957247587428,-0.3052770222228624,0.1262387733066528,0.0,0.0,0.0,2098.201114348969
2011-01-09,2328.765956362101,-32046.082974223,38319.726299127826,1287.0485376331985,3828.398991894109,0.0,0.0,0.0,0.0,0.0,0.0,-0.08243868095613603,-0.4009744972508452,0.07139774507820797,-0.014815937851928758,-0.0974853474653468,0.10582605365165436,-0.06762274310420731,-0.30348914978549846,0.1457613883287582,0.0,0.0,0.0,2136.785562664055
2011-01-10,2329.1562230851855,-31845.632645088164,32340.050861858028,1288.034838919847,3829.1303914549067,0.0,0.0,0.0,0.0,0.0,0.0,-0.07186479409857742,-0.2785948861075553,0.15763022773659754,-0.015502435828249067,-0.04663453879919409,0.018408578631008046,-0.05636235827032835,-0.29700346473856326,0.16376990457720958,0.0,0.0,0.0,2161.7718906897485
