customer ID,Frequency,Profit,Sales,Recencia,CustomerValue
14860,36.0,6544.89,27434.17,1.0,235615.91
18865,35.0,4698.64,21051.06,0.0,164452.37
11365,26.0,5680.73,22551.03,0.0,147698.91
15160,29.0,4498.99,19963.41,1.0,130470.84
15565,29.0,4329.95,19844.15,1.0,125568.42
14365,30.0,4101.91,27649.33,1.0,123057.39
15805,36.0,3393.22,22015.39,0.0,122155.92
19465,35.0,2769.65,17178.44,0.0,96937.75
17305,27.0,3481.41,16729.35,1.0,93998.02
16000,32.0,2936.38,22127.18,1.0,93964.07
19480,27.0,3316.93,16487.19,0.0,89557.24
14020,32.0,2761.39,12827.27,0.0,88364.43
13975,31.0,2653.54,13405.6,0.0,82259.88
12430,29.0,2779.92,13997.59,0.0,80617.7
18295,29.0,2553.68,25570.49,0.0,74056.64
15625,26.0,2805.65,12754.41,1.0,72946.86
13840,25.0,5466.5,20188.16,2.0,68331.25
16075,25.0,2677.5,19852.77,1.0,66937.39
15640,25.0,2651.11,12637.45,0.0,66277.64
13390,27.0,2369.83,10282.79,0.0,63985.38
11920,26.0,4751.73,18296.75,2.0,61772.5
14350,20.0,2959.86,10654.53,1.0,59197.28
11185,27.0,1989.49,15376.03,1.0,53716.23
18145,23.0,4668.16,18147.96,2.0,53683.87
21535,29.0,1738.66,8888.06,0.0,50421.0
15370,27.0,1813.5,10189.51,1.0,48964.39
12985,35.0,1366.8,14823.97,1.0,47838.16
13960,36.0,2593.94,25228.53,2.0,46690.95
15775,25.0,1820.47,10582.79,1.0,45511.73
16690,38.0,2367.49,18158.46,2.0,44982.31
18325,25.0,1772.79,11778.49,1.0,44319.75
17755,28.0,1577.42,14425.1,1.0,44167.8
16360,28.0,1542.22,9983.51,1.0,43182.23
21805,22.0,3906.6,22573.37,2.0,42972.56
16150,28.0,1430.45,18281.85,0.0,40052.57
21325,22.0,1767.03,10033.19,1.0,38874.65
19240,21.0,1837.42,7186.14,1.0,38585.79
11980,23.0,1648.44,11848.16,1.0,37914.1
13345,26.0,2876.81,17054.89,2.0,37398.49
21130,37.0,1964.41,22697.58,2.0,36341.54
11785,35.0,2036.68,18446.85,2.0,35641.98
15580,23.0,1540.21,13295.86,0.0,35424.82
10735,28.0,2516.71,12984.1,2.0,35233.91
11755,29.0,1194.73,17557.46,1.0,34647.14
21475,29.0,1181.26,10722.53,1.0,34256.67
20260,26.0,1265.55,9366.19,0.0,32904.37
21250,27.0,2409.69,11830.09,2.0,32530.82
18850,40.0,3249.28,25274.47,4.0,32492.78
17170,28.0,2319.7,11256.32,2.0,32475.87
17845,30.0,1064.31,14947.88,1.0,31929.22
12400,23.0,1373.06,10221.36,1.0,31580.44
20920,28.0,6649.63,28124.21,6.0,31031.59
17785,26.0,1185.03,11676.13,0.0,30810.66
17395,25.0,1141.97,14507.08,0.0,28549.32
21895,26.0,4324.91,19998.08,4.0,28111.9
20935,28.0,1000.17,15197.69,0.0,28004.84
14665,29.0,1877.94,12921.45,2.0,27230.14
16675,23.0,2265.91,13531.28,2.0,26057.97
13225,29.0,898.32,9246.47,1.0,26051.4
15310,24.0,2095.91,12733.7,2.0,25150.94
15760,28.0,1755.59,18103.64,2.0,24578.26
19225,30.0,1613.62,11915.2,2.0,24204.35
17635,34.0,3529.49,21113.51,5.0,24000.55
13765,28.0,1685.96,20259.92,2.0,23603.46
10210,34.0,4139.66,20365.74,6.0,23458.08
20110,35.0,5863.62,29532.63,9.0,22802.98
12880,31.0,2112.65,14415.34,3.0,21830.67
17365,33.0,3300.32,20317.01,5.0,21782.13
10300,23.0,1845.77,13013.88,2.0,21226.32
17260,26.0,3160.31,15713.72,4.0,20542.0
17320,30.0,3359.65,24527.03,5.0,20157.9
18205,26.0,1540.23,16362.9,2.0,20023.01
16315,28.0,1420.09,14542.76,2.0,19881.23
16600,22.0,887.35,10295.96,1.0,19521.64
14275,22.0,3539.42,13569.57,4.0,19466.82
15190,28.0,4108.55,17064.71,6.0,19173.22
16765,29.0,3948.66,17253.78,6.0,19085.2
17695,25.0,760.91,16221.63,0.0,19022.79
19285,23.0,4132.9,16816.43,5.0,19011.34
14710,29.0,5164.85,34471.89,8.0,18722.57
16045,24.0,778.63,13851.28,0.0,18687.1
19735,22.0,824.76,12139.09,1.0,18144.69
13090,36.0,4004.44,19178.64,8.0,18019.96
18895,28.0,1270.1,13941.69,2.0,17781.38
20170,15.0,2342.9,12950.93,2.0,17571.75
16375,28.0,1194.45,16394.46,2.0,16722.37
15970,24.0,688.97,17105.47,0.0,16535.35
10075,32.0,986.04,18109.86,2.0,15776.69
19945,23.0,678.96,11696.03,1.0,15616.1
10450,19.0,4105.6,16126.39,5.0,15601.3
15415,22.0,1396.65,14717.47,2.0,15363.1
19840,30.0,3052.17,15077.48,6.0,15260.85
18550,25.0,1206.92,10993.42,2.0,15086.56
5085,12.0,1253.67,5766.24,1.0,15044.08
14875,32.0,2324.02,14312.8,5.0,14873.73
20080,17.0,2551.8,10774.5,3.0,14460.2
12190,24.0,598.48,11375.05,0.0,14363.56
16960,21.0,1365.98,11812.1,2.0,14342.81
15715,35.0,3648.01,22275.27,9.0,14186.7
13375,26.0,2159.8,16258.53,4.0,14038.69
14470,33.0,2885.99,20869.7,7.0,13605.4
13510,30.0,2695.86,15420.29,6.0,13479.31
10570,17.0,1584.83,9445.65,2.0,13471.07
19675,19.0,2810.51,11151.96,4.0,13349.91
16090,33.0,3195.37,21918.74,8.0,13180.91
13105,25.0,3099.95,18930.03,6.0,12916.44
21640,32.0,1989.99,13973.78,5.0,12735.92
17470,28.0,2231.36,12928.8,5.0,12495.61
12205,38.0,1311.21,13625.21,4.0,12456.46
14725,24.0,1012.27,8817.55,2.0,12147.26
20200,27.0,2214.17,13019.63,5.0,11956.51
11725,30.0,1574.14,10877.83,4.0,11806.02
16240,26.0,1801.54,9900.7,4.0,11710.01
15820,31.0,4829.67,23586.72,13.0,11516.91
15220,32.0,4115.15,23103.73,12.0,10973.74
20530,31.0,2074.56,14064.01,6.0,10718.58
17230,22.0,1946.7,10577.17,4.0,10706.83
19360,25.0,8523.95,29197.63,20.0,10654.94
12910,27.0,781.99,12338.28,2.0,10556.86
17800,24.0,2638.81,13709.12,6.0,10555.24
20590,26.0,2015.95,12181.43,5.0,10482.92
10870,36.0,1736.07,26487.26,6.0,10416.43
18250,32.0,2272.41,20425.3,7.0,10388.16
19030,31.0,2322.4,12810.06,7.0,10284.91
12460,22.0,2801.27,20084.22,6.0,10271.33
14590,28.0,1826.52,18005.0,5.0,10228.5
11250,15.0,656.02,7270.84,1.0,9840.24
11830,24.0,2444.7,16828.82,6.0,9778.8
18475,22.0,2633.76,10630.91,6.0,9657.12
12700,30.0,2563.44,17943.65,8.0,9612.92
15400,33.0,1992.26,13085.5,7.0,9392.09
11095,31.0,599.43,8327.87,2.0,9291.18
15520,26.0,2854.75,16429.05,8.0,9277.93
16780,32.0,3754.02,24273.0,13.0,9240.66
18460,21.0,2197.42,12061.44,5.0,9229.18
20695,33.0,2516.16,21931.04,9.0,9225.94
21340,31.0,2377.12,16997.03,8.0,9211.33
20980,28.0,8787.47,34218.27,27.0,9112.94
14740,24.0,377.68,10793.73,1.0,9064.24
11320,32.0,1409.62,13390.27,5.0,9021.57
13015,29.0,1530.86,15626.53,5.0,8879.0
15430,30.0,1477.2,11806.2,5.0,8863.19
18985,28.0,2531.14,12540.66,8.0,8859.0
17920,33.0,1824.22,20383.65,7.0,8599.89
21880,25.0,3091.59,18703.61,9.0,8587.76
12805,19.0,1737.44,9764.13,4.0,8252.86
15235,24.0,4370.95,18725.39,13.0,8069.44
21385,23.0,6274.99,35668.12,18.0,8018.04
11335,36.0,7790.7,27158.02,35.0,8013.29
11425,21.0,1904.9,12356.59,5.0,8000.57
11740,23.0,2084.92,14689.34,6.0,7992.21
19330,32.0,3737.59,18359.77,15.0,7973.52
11905,24.0,2635.85,12917.63,8.0,7907.55
12640,24.0,1295.16,12279.23,4.0,7770.98
20725,29.0,1874.83,13975.42,7.0,7767.13
20035,36.0,2785.23,15192.38,13.0,7712.94
10105,30.0,6912.61,22966.78,27.0,7680.68
10540,15.0,3050.91,7983.95,6.0,7627.28
15490,29.0,1048.32,9234.53,4.0,7600.3
19075,28.0,2170.26,17668.91,8.0,7595.92
19210,26.0,2313.68,18967.66,8.0,7519.46
11170,31.0,3859.22,22314.84,16.0,7477.24
10015,32.0,3719.49,20037.5,16.0,7438.98
15895,31.0,1430.55,16711.32,6.0,7391.16
20485,32.0,3430.92,16802.06,15.0,7319.29
21100,27.0,1587.79,13684.87,6.0,7145.04
13330,32.0,2652.75,16781.63,12.0,7074.01
10510,28.0,3518.96,14277.89,14.0,7037.92
14620,23.0,3611.16,19215.77,12.0,6921.39
13600,20.0,1722.94,11912.76,5.0,6891.76
12940,33.0,5505.92,25641.46,27.0,6729.46
18115,26.0,1250.67,12017.1,5.0,6503.47
13195,24.0,1623.38,9689.32,6.0,6493.53
13165,25.0,1808.32,22211.28,7.0,6458.28
10225,28.0,2718.66,21366.9,12.0,6343.54
15025,28.0,1357.64,14737.81,6.0,6335.67
17050,22.0,1150.05,12933.87,4.0,6325.26
21310,32.0,2742.92,12305.23,14.0,6269.53
15385,24.0,2086.8,12978.93,8.0,6260.39
16390,29.0,4067.82,19350.15,19.0,6208.78
21460,31.0,2390.94,18432.01,12.0,6176.58
13585,37.0,821.81,12143.04,5.0,6081.42
13885,31.0,2933.26,18018.88,15.0,6062.08
10360,33.0,2748.48,16730.33,15.0,6046.65
10435,24.0,3016.9,13654.31,12.0,6033.8
14800,23.0,1570.15,9902.5,6.0,6018.89
13240,28.0,3822.69,22225.61,18.0,5946.41
10030,27.0,2601.43,14439.5,12.0,5853.22
17095,26.0,2003.33,15598.15,9.0,5787.39
13915,32.0,2159.58,16283.36,12.0,5758.89
19045,26.0,4426.2,29252.32,20.0,5754.05
15175,27.0,1268.03,13499.87,6.0,5706.14
20740,32.0,4096.09,17220.18,23.0,5698.91
11845,26.0,3274.99,20471.05,15.0,5676.64
18385,29.0,1362.27,28044.36,7.0,5643.7
14425,30.0,3375.23,20039.76,18.0,5625.38
10615,29.0,1160.68,12729.72,6.0,5609.93
19270,26.0,1507.91,13725.58,7.0,5600.81
19990,19.0,2320.06,10932.97,8.0,5510.13
13210,26.0,1479.97,13743.6,7.0,5497.02
12475,28.0,3120.16,17159.8,16.0,5460.29
21505,26.0,2306.84,17613.42,11.0,5452.53
21910,36.0,452.5,28472.82,3.0,5430.04
12115,20.0,2164.82,14657.95,8.0,5412.04
18220,25.0,3596.31,20592.08,17.0,5288.7
18445,31.0,5095.16,20223.24,30.0,5265.0
1425,8.0,651.93,2671.26,1.0,5215.42
16330,26.0,3205.86,15045.64,16.0,5209.52
17425,30.0,3980.56,15055.41,23.0,5192.03
18535,22.0,1414.98,11054.38,6.0,5188.25
11560,19.0,1909.86,9356.78,7.0,5183.92
13060,25.0,3315.62,23476.91,16.0,5180.66
12610,28.0,2950.19,16822.64,16.0,5162.84
20515,18.0,285.97,7480.62,0.0,5147.39
10165,28.0,2329.47,11649.27,13.0,5017.32
21850,37.0,2694.5,16704.66,20.0,4984.83
15655,33.0,1190.07,16294.73,8.0,4909.06
11965,26.0,3382.26,21110.52,18.0,4885.49
16735,28.0,1566.24,12686.04,9.0,4872.75
15040,19.0,7657.5,29664.23,30.0,4849.75
21145,25.0,2131.01,18419.94,11.0,4843.2
20020,31.0,1231.52,10579.47,8.0,4772.12
10825,37.0,2828.1,15311.04,22.0,4756.36
20755,31.0,2295.71,23321.58,15.0,4744.46
11515,21.0,2018.7,10272.23,9.0,4710.29
19915,27.0,2078.76,20975.19,12.0,4677.2
14140,30.0,3683.12,21507.29,24.0,4603.9
13630,25.0,2205.88,12560.13,12.0,4595.58
11290,29.0,1858.83,12448.9,12.0,4492.17
11455,26.0,517.91,17643.53,3.0,4488.59
13150,21.0,2064.72,15983.71,10.0,4335.92
11800,21.0,1851.86,10887.21,9.0,4321.01
14305,37.0,2567.11,15614.22,22.0,4317.42
14215,30.0,1000.97,14353.4,7.0,4289.87
2325,8.0,531.2,3125.29,0.0,4249.56
18040,18.0,1646.93,8677.6,7.0,4234.97
20230,24.0,2785.05,20333.87,16.0,4177.58
16225,18.0,227.24,7754.55,0.0,4090.31
11710,29.0,3243.94,23537.34,23.0,4090.19
16630,27.0,1205.67,7220.7,8.0,4069.13
18610,21.0,3867.61,19181.93,20.0,4060.99
13420,28.0,3173.14,22142.43,22.0,4038.54
20845,22.0,1435.04,9898.63,8.0,3946.36
13270,25.0,1420.46,11690.37,9.0,3945.72
11470,28.0,1548.04,23378.1,11.0,3940.47
18280,25.0,1877.07,7134.3,12.0,3910.57
14005,27.0,285.65,10374.94,2.0,3856.24
10645,35.0,3051.44,15343.89,28.0,3814.3
18775,33.0,1729.75,11370.47,15.0,3805.46
17935,20.0,1517.15,12870.93,8.0,3792.88
21070,31.0,1698.4,15673.06,14.0,3760.74
15955,30.0,624.8,10640.83,5.0,3748.78
19690,24.0,2312.26,11200.14,15.0,3699.61
16495,33.0,5152.96,24996.5,46.0,3696.69
12565,30.0,614.58,17008.14,5.0,3687.5
12835,29.0,2632.19,17590.55,21.0,3634.93
11635,25.0,1303.62,11230.7,9.0,3621.16
18370,22.0,1970.28,10913.15,12.0,3612.18
18520,26.0,2631.05,12328.61,19.0,3600.38
21235,26.0,1106.72,12896.25,8.0,3596.84
16795,31.0,4515.38,24589.87,39.0,3589.15
14095,17.0,1684.95,10889.7,8.0,3580.53
11050,21.0,845.08,5403.79,5.0,3549.33
20245,26.0,1622.77,13576.68,12.0,3516.0
18805,19.0,1479.58,12075.4,8.0,3514.0
21400,25.0,3471.76,21375.99,25.0,3471.76
16915,25.0,3604.46,22434.09,26.0,3465.83
13180,29.0,1669.79,13447.41,14.0,3458.85
18430,28.0,3320.7,18970.41,27.0,3443.68
17530,24.0,2150.45,13335.04,15.0,3440.73
11500,27.0,2412.36,13089.85,19.0,3428.09
13315,27.0,2265.23,18505.6,18.0,3397.84
10060,31.0,4514.06,18416.55,42.0,3331.81
21565,28.0,1650.49,12429.8,14.0,3300.98
14455,17.0,3106.23,10523.65,16.0,3300.37
15925,18.0,1649.13,12325.29,9.0,3298.27
16570,33.0,2191.57,9256.06,22.0,3287.35
11875,23.0,1857.24,12538.83,13.0,3285.89
15130,27.0,967.88,12908.5,8.0,3266.59
21700,25.0,912.21,18099.31,7.0,3257.9
18625,29.0,2229.91,16901.52,20.0,3233.38
13900,21.0,3360.55,16562.35,22.0,3207.79
18055,25.0,1901.28,11163.59,15.0,3168.8
10705,29.0,2728.65,24218.56,25.0,3165.23
16270,29.0,3914.23,23204.27,36.0,3153.13
10330,27.0,929.47,14534.51,8.0,3136.95
17140,28.0,1454.41,13128.24,13.0,3132.57
21370,27.0,4101.15,23201.68,36.0,3075.86
13495,27.0,2474.76,15872.18,22.0,3037.21
20095,28.0,8106.22,25602.61,75.0,3026.32
14065,16.0,3017.73,12108.31,16.0,3017.73
14575,24.0,1621.01,10748.99,13.0,2992.64
12265,31.0,3270.72,18472.67,34.0,2982.13
16810,24.0,1737.12,10429.25,14.0,2977.92
12055,22.0,1738.37,10691.03,13.0,2941.86
19810,29.0,1417.28,7091.1,14.0,2935.79
11005,25.0,939.24,23347.84,8.0,2935.12
21205,32.0,2350.44,13888.62,26.0,2892.85
10285,29.0,1794.86,16179.86,18.0,2891.73
18595,22.0,1438.95,10535.3,11.0,2877.91
11650,24.0,3927.17,14921.0,33.0,2856.12
19150,31.0,460.2,7907.26,5.0,2853.22
18820,35.0,1626.92,14635.94,20.0,2847.11
